county,office,district,party,candidate,votes,no_votes
RIO BLANCO,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,93,
RIO GRANDE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,148,
ROUTT,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,317,
SAGUACHE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,112,
SAN JUAN,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,13,
SAN MIGUEL,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,84,
SEDGWICK,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,32,
SUMMIT,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,420,
TELLER,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,412,
WASHINGTON,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,62,
WELD,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,5037,
YUMA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,97,
TOTAL,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,70475,
ADAMS,Attorney General,,Democratic Party,Phil Weiser,89404,
ALAMOSA,Attorney General,,Democratic Party,Phil Weiser,3006,
ARAPAHOE,Attorney General,,Democratic Party,Phil Weiser,147124,
ARCHULETA,Attorney General,,Democratic Party,Phil Weiser,2642,
BACA,Attorney General,,Democratic Party,Phil Weiser,340,
BENT,Attorney General,,Democratic Party,Phil Weiser,619,
BOULDER,Attorney General,,Democratic Party,Phil Weiser,128598,
BROOMFIELD,Attorney General,,Democratic Party,Phil Weiser,19979,
CHAFFEE,Attorney General,,Democratic Party,Phil Weiser,5247,
CHEYENNE,Attorney General,,Democratic Party,Phil Weiser,124,
CLEAR CREEK,Attorney General,,Democratic Party,Phil Weiser,2812,
CONEJOS,Attorney General,,Democratic Party,Phil Weiser,1668,
COSTILLA,Attorney General,,Democratic Party,Phil Weiser,1047,
CROWLEY,Attorney General,,Democratic Party,Phil Weiser,395,
CUSTER,Attorney General,,Democratic Party,Phil Weiser,838,
DELTA,Attorney General,,Democratic Party,Phil Weiser,4598,
DENVER,Attorney General,,Democratic Party,Phil Weiser,232798,
DOLORES,Attorney General,,Democratic Party,Phil Weiser,258,
DOUGLAS,Attorney General,,Democratic Party,Phil Weiser,65457,
EAGLE,Attorney General,,Democratic Party,Phil Weiser,13193,
ELBERT,Attorney General,,Democratic Party,Phil Weiser,3014,
EL PASO,Attorney General,,Democratic Party,Phil Weiser,103550,
FREMONT,Attorney General,,Democratic Party,Phil Weiser,5643,
GARFIELD,Attorney General,,Democratic Party,Phil Weiser,11474,
GILPIN,Attorney General,,Democratic Party,Phil Weiser,1741,
GRAND,Attorney General,,Democratic Party,Phil Weiser,3365,
GUNNISON,Attorney General,,Democratic Party,Phil Weiser,5325,
HINSDALE,Attorney General,,Democratic Party,Phil Weiser,197,
HUERFANO,Attorney General,,Democratic Party,Phil Weiser,1767,
JACKSON,Attorney General,,Democratic Party,Phil Weiser,149,
JEFFERSON,Attorney General,,Democratic Party,Phil Weiser,156641,
KIOWA,Attorney General,,Democratic Party,Phil Weiser,106,
KIT CARSON,Attorney General,,Democratic Party,Phil Weiser,485,
LAKE,Attorney General,,Democratic Party,Phil Weiser,1626,
LA PLATA,Attorney General,,Democratic Party,Phil Weiser,15404,
LARIMER,Attorney General,,Democratic Party,Phil Weiser,92340,
LAS ANIMAS,Attorney General,,Democratic Party,Phil Weiser,2860,
LINCOLN,Attorney General,,Democratic Party,Phil Weiser,347,
LOGAN,Attorney General,,Democratic Party,Phil Weiser,1827,
MESA,Attorney General,,Democratic Party,Phil Weiser,21350,
MINERAL,Attorney General,,Democratic Party,Phil Weiser,252,
MOFFAT,Attorney General,,Democratic Party,Phil Weiser,922,
MONTEZUMA,Attorney General,,Democratic Party,Phil Weiser,4231,
MONTROSE,Attorney General,,Democratic Party,Phil Weiser,5339,
MORGAN,Attorney General,,Democratic Party,Phil Weiser,2826,
OTERO,Attorney General,,Democratic Party,Phil Weiser,2726,
OURAY,Attorney General,,Democratic Party,Phil Weiser,1820,
PARK,Attorney General,,Democratic Party,Phil Weiser,3455,
PHILLIPS,Attorney General,,Democratic Party,Phil Weiser,408,
PITKIN,Attorney General,,Democratic Party,Phil Weiser,7038,
PROWERS,Attorney General,,Democratic Party,Phil Weiser,1035,
PUEBLO,Attorney General,,Democratic Party,Phil Weiser,32788,
RIO BLANCO,Attorney General,,Democratic Party,Phil Weiser,468,
RIO GRANDE,Attorney General,,Democratic Party,Phil Weiser,1928,
ROUTT,Attorney General,,Democratic Party,Phil Weiser,7797,
SAGUACHE,Attorney General,,Democratic Party,Phil Weiser,1475,
SAN JUAN,Attorney General,,Democratic Party,Phil Weiser,259,
SAN MIGUEL,Attorney General,,Democratic Party,Phil Weiser,2959,
SEDGWICK,Attorney General,,Democratic Party,Phil Weiser,274,
SUMMIT,Attorney General,,Democratic Party,Phil Weiser,8821,
TELLER,Attorney General,,Democratic Party,Phil Weiser,3738,
WASHINGTON,Attorney General,,Democratic Party,Phil Weiser,306,
WELD,Attorney General,,Democratic Party,Phil Weiser,44546,
YUMA,Attorney General,,Democratic Party,Phil Weiser,695,
TOTAL,Attorney General,,Democratic Party,Phil Weiser,1285464,
ADAMS,Attorney General,,Republican Party,George Brauchler,72213,
ALAMOSA,Attorney General,,Republican Party,George Brauchler,2801,
ARAPAHOE,Attorney General,,Republican Party,George Brauchler,112993,
ARCHULETA,Attorney General,,Republican Party,George Brauchler,3791,
BACA,Attorney General,,Republican Party,George Brauchler,1416,
BENT,Attorney General,,Republican Party,George Brauchler,1154,
BOULDER,Attorney General,,Republican Party,George Brauchler,40595,
BROOMFIELD,Attorney General,,Republican Party,George Brauchler,14378,
CHAFFEE,Attorney General,,Republican Party,George Brauchler,5055,
CHEYENNE,Attorney General,,Republican Party,George Brauchler,816,
CLEAR CREEK,Attorney General,,Republican Party,George Brauchler,2248,
CONEJOS,Attorney General,,Republican Party,George Brauchler,1776,
COSTILLA,Attorney General,,Republican Party,George Brauchler,512,
CROWLEY,Attorney General,,Republican Party,George Brauchler,923,
CUSTER,Attorney General,,Republican Party,George Brauchler,1926,
DELTA,Attorney General,,Republican Party,George Brauchler,9916,
DENVER,Attorney General,,Republican Party,George Brauchler,64532,
DOLORES,Attorney General,,Republican Party,George Brauchler,857,
DOUGLAS,Attorney General,,Republican Party,George Brauchler,103880,
EAGLE,Attorney General,,Republican Party,George Brauchler,7848,
ELBERT,Attorney General,,Republican Party,George Brauchler,11065,
EL PASO,Attorney General,,Republican Party,George Brauchler,159922,
FREMONT,Attorney General,,Republican Party,George Brauchler,12969,
GARFIELD,Attorney General,,Republican Party,George Brauchler,11550,
GILPIN,Attorney General,,Republican Party,George Brauchler,1425,
GRAND,Attorney General,,Republican Party,George Brauchler,3924,
GUNNISON,Attorney General,,Republican Party,George Brauchler,2966,
HINSDALE,Attorney General,,Republican Party,George Brauchler,318,
HUERFANO,Attorney General,,Republican Party,George Brauchler,1680,
JACKSON,Attorney General,,Republican Party,George Brauchler,564,
JEFFERSON,Attorney General,,Republican Party,George Brauchler,134403,
KIOWA,Attorney General,,Republican Party,George Brauchler,632,
KIT CARSON,Attorney General,,Republican Party,George Brauchler,2471,
LAKE,Attorney General,,Republican Party,George Brauchler,1014,
LA PLATA,Attorney General,,Republican Party,George Brauchler,11552,
LARIMER,Attorney General,,Republican Party,George Brauchler,78888,
LAS ANIMAS,Attorney General,,Republican Party,George Brauchler,3127,
LINCOLN,Attorney General,,Republican Party,George Brauchler,1647,
LOGAN,Attorney General,,Republican Party,George Brauchler,6350,
MESA,Attorney General,,Republican Party,George Brauchler,42843,
MINERAL,Attorney General,,Republican Party,George Brauchler,316,
MOFFAT,Attorney General,,Republican Party,George Brauchler,4225,
MONTEZUMA,Attorney General,,Republican Party,George Brauchler,6871,
MONTROSE,Attorney General,,Republican Party,George Brauchler,12866,
MORGAN,Attorney General,,Republican Party,George Brauchler,7351,
OTERO,Attorney General,,Republican Party,George Brauchler,4377,
OURAY,Attorney General,,Republican Party,George Brauchler,1269,
PARK,Attorney General,,Republican Party,George Brauchler,5536,
PHILLIPS,Attorney General,,Republican Party,George Brauchler,1554,
PITKIN,Attorney General,,Republican Party,George Brauchler,2349,
PROWERS,Attorney General,,Republican Party,George Brauchler,2958,
PUEBLO,Attorney General,,Republican Party,George Brauchler,30658,
RIO BLANCO,Attorney General,,Republican Party,George Brauchler,2415,
RIO GRANDE,Attorney General,,Republican Party,George Brauchler,2804,
ROUTT,Attorney General,,Republican Party,George Brauchler,4861,
SAGUACHE,Attorney General,,Republican Party,George Brauchler,1040,
SAN JUAN,Attorney General,,Republican Party,George Brauchler,173,
SAN MIGUEL,Attorney General,,Republican Party,George Brauchler,941,
SEDGWICK,Attorney General,,Republican Party,George Brauchler,876,
SUMMIT,Attorney General,,Republican Party,George Brauchler,4491,
TELLER,Attorney General,,Republican Party,George Brauchler,8600,
WASHINGTON,Attorney General,,Republican Party,George Brauchler,2024,
WELD,Attorney General,,Republican Party,George Brauchler,74015,
YUMA,Attorney General,,Republican Party,George Brauchler,3247,
TOTAL,Attorney General,,Republican Party,George Brauchler,1124757,
ADAMS,Attorney General,,Libertarian Party,William F. Robinson III,6658,
ALAMOSA,Attorney General,,Libertarian Party,William F. Robinson III,169,
ARAPAHOE,Attorney General,,Libertarian Party,William F. Robinson III,8093,
ARCHULETA,Attorney General,,Libertarian Party,William F. Robinson III,228,
BACA,Attorney General,,Libertarian Party,William F. Robinson III,63,
BENT,Attorney General,,Libertarian Party,William F. Robinson III,72,
BOULDER,Attorney General,,Libertarian Party,William F. Robinson III,4471,
BROOMFIELD,Attorney General,,Libertarian Party,William F. Robinson III,1100,
CHAFFEE,Attorney General,,Libertarian Party,William F. Robinson III,390,
CHEYENNE,Attorney General,,Libertarian Party,William F. Robinson III,30,
CLEAR CREEK,Attorney General,,Libertarian Party,William F. Robinson III,246,
CONEJOS,Attorney General,,Libertarian Party,William F. Robinson III,75,
COSTILLA,Attorney General,,Libertarian Party,William F. Robinson III,46,
CROWLEY,Attorney General,,Libertarian Party,William F. Robinson III,68,
CUSTER,Attorney General,,Libertarian Party,William F. Robinson III,87,
DELTA,Attorney General,,Libertarian Party,William F. Robinson III,469,
DENVER,Attorney General,,Libertarian Party,William F. Robinson III,8268,
DOLORES,Attorney General,,Libertarian Party,William F. Robinson III,29,
DOUGLAS,Attorney General,,Libertarian Party,William F. Robinson III,5070,
EAGLE,Attorney General,,Libertarian Party,William F. Robinson III,651,
ELBERT,Attorney General,,Libertarian Party,William F. Robinson III,438,
EL PASO,Attorney General,,Libertarian Party,William F. Robinson III,10784,
FREMONT,Attorney General,,Libertarian Party,William F. Robinson III,768,
GARFIELD,Attorney General,,Libertarian Party,William F. Robinson III,779,
GILPIN,Attorney General,,Libertarian Party,William F. Robinson III,162,
GRAND,Attorney General,,Libertarian Party,William F. Robinson III,288,
GUNNISON,Attorney General,,Libertarian Party,William F. Robinson III,314,
HINSDALE,Attorney General,,Libertarian Party,William F. Robinson III,26,
HUERFANO,Attorney General,,Libertarian Party,William F. Robinson III,139,
JACKSON,Attorney General,,Libertarian Party,William F. Robinson III,29,
JEFFERSON,Attorney General,,Libertarian Party,William F. Robinson III,10196,
KIOWA,Attorney General,,Libertarian Party,William F. Robinson III,16,
KIT CARSON,Attorney General,,Libertarian Party,William F. Robinson III,75,
LAKE,Attorney General,,Libertarian Party,William F. Robinson III,145,
LA PLATA,Attorney General,,Libertarian Party,William F. Robinson III,875,
LARIMER,Attorney General,,Libertarian Party,William F. Robinson III,5762,
LAS ANIMAS,Attorney General,,Libertarian Party,William F. Robinson III,217,
LINCOLN,Attorney General,,Libertarian Party,William F. Robinson III,74,
LOGAN,Attorney General,,Libertarian Party,William F. Robinson III,265,
MESA,Attorney General,,Libertarian Party,William F. Robinson III,2258,
MINERAL,Attorney General,,Libertarian Party,William F. Robinson III,23,
MOFFAT,Attorney General,,Libertarian Party,William F. Robinson III,175,
MONTEZUMA,Attorney General,,Libertarian Party,William F. Robinson III,354,
MONTROSE,Attorney General,,Libertarian Party,William F. Robinson III,522,
MORGAN,Attorney General,,Libertarian Party,William F. Robinson III,321,
OTERO,Attorney General,,Libertarian Party,William F. Robinson III,270,
OURAY,Attorney General,,Libertarian Party,William F. Robinson III,89,
PARK,Attorney General,,Libertarian Party,William F. Robinson III,397,
PHILLIPS,Attorney General,,Libertarian Party,William F. Robinson III,48,
PITKIN,Attorney General,,Libertarian Party,William F. Robinson III,270,
PROWERS,Attorney General,,Libertarian Party,William F. Robinson III,109,
PUEBLO,Attorney General,,Libertarian Party,William F. Robinson III,2430,
RIO BLANCO,Attorney General,,Libertarian Party,William F. Robinson III,76,
RIO GRANDE,Attorney General,,Libertarian Party,William F. Robinson III,159,
ROUTT,Attorney General,,Libertarian Party,William F. Robinson III,396,
SAGUACHE,Attorney General,,Libertarian Party,William F. Robinson III,105,
SAN JUAN,Attorney General,,Libertarian Party,William F. Robinson III,15,
SAN MIGUEL,Attorney General,,Libertarian Party,William F. Robinson III,126,
SEDGWICK,Attorney General,,Libertarian Party,William F. Robinson III,36,
SUMMIT,Attorney General,,Libertarian Party,William F. Robinson III,516,
TELLER,Attorney General,,Libertarian Party,William F. Robinson III,399,
WASHINGTON,Attorney General,,Libertarian Party,William F. Robinson III,55,
WELD,Attorney General,,Libertarian Party,William F. Robinson III,4869,
YUMA,Attorney General,,Libertarian Party,William F. Robinson III,80,
TOTAL,Attorney General,,Libertarian Party,William F. Robinson III,81733,
BOULDER,State Board of Education - District 2,,Republican Party,Johnny Barrett,23911,
BROOMFIELD,State Board of Education - District 2,,Republican Party,Johnny Barrett,13487,
CLEAR CREEK,State Board of Education - District 2,,Republican Party,Johnny Barrett,2247,
EAGLE,State Board of Education - District 2,,Republican Party,Johnny Barrett,1592,
GILPIN,State Board of Education - District 2,,Republican Party,Johnny Barrett,1430,
GRAND,State Board of Education - District 2,,Republican Party,Johnny Barrett,3801,
JEFFERSON,State Board of Education - District 2,,Republican Party,Johnny Barrett,22915,
LARIMER,State Board of Education - District 2,,Republican Party,Johnny Barrett,75287,
PARK,State Board of Education - District 2,,Republican Party,Johnny Barrett,2727,
SUMMIT,State Board of Education - District 2,,Republican Party,Johnny Barrett,4330,
TOTAL,State Board of Education - District 2,,Republican Party,Johnny Barrett,151727,
BOULDER,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,100527,
BROOMFIELD,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,20642,
CLEAR CREEK,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,2907,
EAGLE,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,3610,
GILPIN,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,1819,
GRAND,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,3474,
JEFFERSON,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,25060,
LARIMER,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,97430,
PARK,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,1777,
SUMMIT,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,8847,
TOTAL,State Board of Education - District 2,,Democratic Party,Angelika Schroeder,266093,
ADAMS,State Board of Education - District 4,,Democratic Party,Tim Krug,847,
ARAPAHOE,State Board of Education - District 4,,Democratic Party,Tim Krug,838,
BACA,State Board of Education - District 4,,Democratic Party,Tim Krug,304,
BENT,State Board of Education - District 4,,Democratic Party,Tim Krug,629,
BOULDER,State Board of Education - District 4,,Democratic Party,Tim Krug,28059,
CHEYENNE,State Board of Education - District 4,,Democratic Party,Tim Krug,131,
CROWLEY,State Board of Education - District 4,,Democratic Party,Tim Krug,395,
DOUGLAS,State Board of Education - District 4,,Democratic Party,Tim Krug,44505,
ELBERT,State Board of Education - District 4,,Democratic Party,Tim Krug,3210,
